user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AH1_2nd_17:bin_000038	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__CABUKU01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__CABUKU01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	70.9	11	0.95255	N/A
AH1_2nd_17:bin_000040	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__C-19;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__C-19;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	66.67	11	0.8768	N/A
AH1_2nd_18:bin_000011	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Coprobacillus;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.35	11	0.94629	N/A
AH1_2nd_18:bin_000013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	91.24	11	0.9359	N/A
AH1_2nd_18:bin_000024	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	83.77	11	0.96295	N/A
AH1_2nd_18:bin_000033	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Beduini;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Beduini;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_902363625.1, s__Beduini sp902363625, 95.0, 84.44, 0.182; GCA_027676805.1, s__Beduini sp027676805, 95.0, 84.36, 0.202; GCF_000829905.1, s__Beduini massiliensis, 95.0, 84.31, 0.202	73.15	11	0.96941	N/A
AH1_2nd_18:bin_000039	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_900541585.1, s__Alistipes sp900541585, 95.0, 85.19, 0.332; GCF_025145845.1, s__Alistipes shahii, 95.0, 85.1, 0.283; GCF_900083545.1, s__Alistipes provencensis, 95.0, 84.88, 0.235; GCA_949840605.1, s__Alistipes sp949840605, 95.0, 84.69, 0.226; GCF_018362775.1, s__Alistipes montrealensis, 95.0, 84.38, 0.289; GCF_025145645.1, s__Alistipes senegalensis, 95.0, 84.37, 0.241; GCF_900107675.1, s__Alistipes timonensis, 95.0, 84.35, 0.224; GCA_001941065.1, s__Alistipes sp001941065, 95.0, 84.23, 0.217; GCA_023443765.1, s__Alistipes sp023443765, 95.0, 84.15, 0.258; GCF_020026455.1, s__Alistipes sp020026455, 95.0, 83.17, 0.228	70.92	11	0.98554	N/A
AH1_2nd_18:bin_000040	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__	N/A	N/A	N/A	N/A	N/A	GCF_003339815.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__Eggerthella sinensis	86.26	0.265	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Eggerthella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_009834925.2, s__Eggerthella guodeyinii, 95.0, 87.02, 0.321; GCF_900184265.1, s__Eggerthella timonensis, 95.0, 86.67, 0.303; GCF_000024265.1, s__Eggerthella lenta, 95.0, 86.03, 0.262	72.43	11	0.97525	N/A
AH1_2nd_18:bin_000041	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	74.7	11	0.93884	N/A
AH1_2nd_18:bin_000047	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_014287545.1, s__Parabacteroides segnis, 95.0, 81.36, 0.204; GCF_029581355.1, s__Parabacteroides chongii, 95.0, 81.25, 0.164; GCF_000969835.1, s__Parabacteroides goldsteinii, 95.0, 81.22, 0.185; GCF_014647375.1, s__Parabacteroides faecis, 95.0, 81.06, 0.174; GCF_000969825.1, s__Parabacteroides gordonii, 95.0, 81.03, 0.157	64.75	11	0.97775	N/A
AH1_2nd_18:bin_000052	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	N/A	N/A	N/A	N/A	N/A	GCA_900551225.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster sp900551225	86.47	0.3	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	54.84	11	0.98597	N/A
AH1_2nd_19:bin_000001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	97.14	11	0.93106	N/A
AH1_2nd_19:bin_000005	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.88	11	0.92787	N/A
AH1_2nd_19:bin_000011	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Mailhella;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.19	11	0.93117	N/A
AH1_2nd_19:bin_000017	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Caccomorpha;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Caccomorpha;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	90.27	11	0.92362	N/A
AH1_2nd_19:bin_000024	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Limenecus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	88.96	11	0.9569	N/A
AH1_2nd_19:bin_000031	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnotalea;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnotalea;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.14	11	0.91448	N/A
AH1_2nd_19:bin_000032	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 85.4, 0.439; GCF_023516715.1, s__Akkermansia massiliensis, 95.0, 85.13, 0.432; GCF_018709685.1, s__Akkermansia muciniphila_E, 95.0, 85.1, 0.421; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 84.99, 0.422; GCA_021202525.1, s__Akkermansia sp021202525, 95.0, 84.99, 0.414; GCF_026072915.1, s__Akkermansia biwaensis, 95.0, 84.92, 0.4; GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 84.77, 0.39; GCF_004167605.1, s__Akkermansia sp004167605, 95.0, 84.44, 0.378; GCF_000020225.1, s__Akkermansia muciniphila, 95.0, 82.74, 0.286; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 82.68, 0.299; GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 81.97, 0.249	89.91	11	0.98055	N/A
AH1_2nd_19:bin_000037	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	80.81	11	0.88297	Genome has more than 11.7% of markers with multiple hits
AH1_2nd_19:bin_000038	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__BNTO01;f__BNTO01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__BNTO01;f__BNTO01;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.16	11	0.74186	N/A
AH1_2nd_19:bin_000043	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae;g__Protoclostridium;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Pumilibacteraceae;g__Protoclostridium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	78.27	11	0.93068	N/A
AH1_2nd_19:bin_000050	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHH4-2;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CHH4-2;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	76.41	11	0.90709	N/A
AH1_2nd_19:bin_000052	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__JAIRLM01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__JAIRLM01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	77.54	11	0.75972	N/A
AH1_2nd_19:bin_000053	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus_A;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hominisplanchenecus_A;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	69.22	11	0.91547	N/A
AH1_2nd_19:bin_000055	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000969825.1, s__Parabacteroides gordonii, 95.0, 81.33, 0.179	71.86	11	0.96279	N/A
AH1_2nd_19:bin_000067	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	GCF_001314995.1	95.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	96.58	0.696	GCF_001314995.1	95.19	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	96.58	0.696	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900755095.1, s__Bacteroides sp900755095, 95.0, 94.74, 0.524; GCF_958387885.1, s__Bacteroides sp019412865, 95.0, 94.41, 0.679; GCA_019117555.1, s__Bacteroides intestinigallinarum, 95.0, 93.27, 0.613; GCA_902362375.1, s__Bacteroides sp902362375, 95.0, 91.46, 0.557; GCF_000210075.1, s__Bacteroides xylanisolvens, 95.0, 91.46, 0.555; GCA_948436425.1, s__Bacteroides sp948436425, 95.0, 90.85, 0.556; GCF_009193295.2, s__Bacteroides luhongzhouii, 95.0, 90.16, 0.558; GCA_948742525.1, s__Bacteroides caecimuris_A, 95.0, 88.48, 0.418; GCA_959606905.1, s__Bacteroides sp959606905, 95.0, 88.04, 0.199; GCF_001688725.2, s__Bacteroides caecimuris, 95.0, 87.55, 0.361; GCA_030295565.1, s__Bacteroides finegoldii, 95.57, 85.1, 0.226; GCF_009193325.2, s__Bacteroides zhangwenhongii, 95.0, 84.63, 0.234; GCF_024623065.1, s__Bacteroides acidifaciens, 95.0, 84.38, 0.241; GCF_900130125.1, s__Bacteroides congonensis, 95.0, 83.38, 0.222; GCF_014750685.1, s__Bacteroides sp014750685, 95.0, 83.32, 0.241; GCF_012113595.1, s__Bacteroides faecium, 95.0, 83.21, 0.218; GCF_900761785.1, s__Bacteroides sp900761785, 95.0, 83.17, 0.215; GCF_903181435.1, s__Bacteroides sp900765785, 95.0, 83.01, 0.233; GCA_947038155.1, s__Bacteroides sp947038155, 95.0, 82.99, 0.202; GCF_902491285.1, s__Bacteroides sp902491285, 95.0, 82.95, 0.22; GCA_900556625.1, s__Bacteroides sp900556625, 95.0, 82.94, 0.21; GCA_948847595.1, s__Bacteroides sp948847595, 95.0, 82.71, 0.184; GCF_002222615.2, s__Bacteroides caccae, 95.0, 81.94, 0.174	59.94	11	N/A	N/A
AH1_2nd_19:bin_000072	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CABSEG01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CABSEG01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	51.98	11	0.92597	N/A
AH1_2nd_19:bin_000077	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Anaerotruncus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	48.26	11	0.95028	N/A
AH1_2nd_1:bin_000001	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B;s__	N/A	N/A	N/A	N/A	N/A	GCA_020860905.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B;s__Parabacteroides_B sp020860905	88.17	0.606	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides_B;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	97.16	11	0.9865	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AH1_2nd_1:bin_000002	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__	N/A	N/A	N/A	N/A	N/A	GCA_022835495.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__Fournierella sp900543285	80.33	0.164	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fournierella;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	97.54	11	0.95465	N/A
AH1_2nd_1:bin_000003	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Scatousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Scatousia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.48	11	0.96393	N/A
AH1_2nd_1:bin_000005	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	94.08	11	0.90637	N/A
AH1_2nd_1:bin_000006	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Kineothrix;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	93.33	11	0.9294	N/A
AH1_2nd_1:bin_000015	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC136627;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__MGBC136627;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.69	11	0.94713	N/A
AH1_2nd_1:bin_000023	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__	N/A	N/A	N/A	N/A	N/A	GCA_030825115.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__Brotaphodocola sp030825115	80.69	0.197	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Brotaphodocola;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	89.81	11	0.97709	N/A
AH1_2nd_1:bin_000028	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__CALXRO01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__UBA1997;g__CALXRO01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	89.22	11	0.88124	N/A
AH1_2nd_1:bin_000034	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dielma;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	83.93	11	0.95687	N/A
AH1_2nd_1:bin_000039	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	82.56	11	0.94967	N/A
AH1_2nd_1:bin_000048	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAUHLX01;s__	N/A	N/A	N/A	N/A	N/A	GCA_959606705.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAUHLX01;s__CAUHLX01 sp959606705	84.8	0.223	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAUHLX01;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	74.96	11	0.98021	N/A
AH1_2nd_1:bin_000065	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	GCF_007991875.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	98.68	0.873	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_007991875.1, s__Weissella confusa, 95.0, 98.68, 0.873; GCA_014332815.1, s__Weissella confusa_C, 95.0, 96.7, 0.557; GCF_004766315.1, s__Weissella confusa_A, 95.0, 92.77, 0.658; GCA_016466735.1, s__Weissella confusa_B, 95.0, 92.51, 0.682	59.54	11	N/A	N/A
AH1_2nd_1:bin_000073	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	50.53	11	0.84609	N/A
AH1_2nd_20:bin_000002	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__RUG14156;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__RUG14156;g__RUG14156;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_944324945.1, s__RUG14156 sp944324945, 95.0, 79.08, 0.15	95.65	11	0.96674	N/A
AH1_2nd_20:bin_000003	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Scatenecus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Cyanobacteriota;c__Vampirovibrionia;o__Gastranaerophilales;f__Gastranaerophilaceae;g__Scatenecus;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	96.17	11	0.94261	N/A
AH1_2nd_20:bin_000004	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	94.88	11	0.92973	N/A
AH1_2nd_20:bin_000006	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas hominis	GCF_014287455.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas hominis	98.1	0.777	GCF_014287455.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__Butyricimonas hominis	98.1	0.777	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_900759925.1, s__Butyricimonas sp900759925, 95.0, 83.64, 0.297; GCF_000379665.1, s__Butyricimonas synergistica, 95.0, 82.52, 0.282	95.09	11	N/A	N/A
AH1_2nd_20:bin_000008	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	N/A	N/A	N/A	N/A	N/A	GCA_902363575.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp902363575	83.66	0.367	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	95.11	11	0.98273	N/A
